iter	Passed	Remaining
0	110	110467
1	112	56158
2	114	37960
3	116	29012
4	119	23719
5	123	20482
6	125	17770
7	127	15754
8	129	14262
9	133	13196
10	135	12181
11	137	11316
12	139	10575
13	141	9957
14	146	9634
15	149	9168
16	150	8718
17	152	8313
18	153	7936
19	155	7602
20	156	7310
21	159	7111
22	161	6866
23	163	6634
24	164	6430
25	166	6240
26	168	6058
27	169	5888
28	171	5746
29	174	5640
30	175	5498
31	177	5364
32	179	5246
33	180	5132
34	182	5018
35	183	4909
36	185	4816
37	187	4739
38	189	4668
39	191	4584
40	192	4500
41	193	4422
42	195	4346
43	196	4271
44	197	4201
45	199	4144
46	201	4094
47	203	4033
48	204	3972
49	206	3915
50	207	3857
51	208	3804
52	210	3760
53	213	3731
54	214	3688
55	216	3641
56	217	3594
57	218	3549
58	219	3506
59	221	3464
60	222	3424
61	223	3388
62	226	3366
63	228	3343
64	230	3309
65	231	3274
66	232	3241
67	234	3207
68	235	3176
69	236	3145
70	238	3117
71	239	3092
72	242	3076
73	243	3048
74	244	3020
75	246	2993
76	247	2965
77	248	2938
78	249	2913
79	251	2887
80	252	2864
81	253	2840
82	254	2814
83	257	2803
84	258	2782
85	259	2762
86	261	2741
87	262	2720
88	263	2700
89	265	2680
90	266	2663
91	268	2645
92	269	2630
93	272	2624
94	273	2609
95	275	2594
96	277	2578
97	278	2563
98	279	2546
99	281	2531
100	282	2515
101	283	2498
102	285	2486
103	287	2477
104	288	2462
105	290	2448
106	291	2434
107	293	2421
108	294	2407
109	295	2394
110	297	2381
111	298	2368
112	301	2364
113	303	2357
114	304	2345
115	306	2333
116	307	2320
117	308	2309
118	310	2296
119	311	2284
120	312	2272
121	313	2259
122	316	2253
123	318	2246
124	319	2235
125	320	2224
126	321	2211
127	323	2201
128	324	2192
129	326	2181
130	327	2171
131	328	2161
132	330	2157
133	333	2154
134	334	2145
135	336	2137
136	337	2127
137	339	2118
138	340	2109
139	342	2101
140	343	2094
141	344	2083
142	346	2078
143	348	2070
144	349	2062
145	350	2052
146	352	2043
147	353	2034
148	354	2026
149	356	2019
150	357	2012
151	359	2007
152	361	2003
153	363	1997
154	364	1989
155	366	1982
156	368	1977
157	369	1970
158	371	1962
159	372	1955
160	373	1945
161	375	1941
162	376	1935
163	378	1928
164	379	1922
165	381	1915
166	382	1908
167	383	1901
168	385	1896
169	387	1890
170	388	1885
171	390	1881
172	392	1876
173	393	1870
174	395	1863
175	396	1856
176	398	1851
177	399	1845
178	400	1839
179	402	1832
180	403	1827
181	405	1823
182	407	1818
183	409	1815
184	410	1810
185	412	1804
186	413	1799
187	415	1795
188	417	1790
189	418	1784
190	420	1780
191	422	1778
192	424	1774
193	425	1768
194	427	1763
195	428	1759
196	430	1754
197	431	1749
198	433	1746
199	435	1742
200	437	1738
201	439	1735
202	441	1732
203	442	1727
204	444	1723
205	445	1718
206	447	1714
207	449	1712
208	452	1711
209	455	1715
210	457	1711
211	459	1709
212	461	1705
213	463	1700
214	466	1701
215	468	1701
216	470	1697
217	471	1692
218	473	1688
219	474	1682
220	475	1677
221	477	1673
222	479	1670
223	481	1669
224	484	1668
225	485	1664
226	487	1660
227	489	1656
228	491	1653
229	492	1650
230	495	1649
231	497	1647
232	499	1645
233	501	1641
234	503	1637
235	504	1633
236	505	1628
237	507	1625
238	510	1624
239	513	1625
240	515	1622
241	516	1617
242	517	1613
243	519	1609
244	520	1605
245	523	1605
246	526	1604
247	528	1603
248	530	1599
249	531	1595
250	533	1592
251	535	1588
252	536	1585
253	539	1583
254	541	1582
255	543	1578
256	545	1575
257	547	1575
258	549	1571
259	551	1569
260	554	1569
261	557	1569
